principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
amendment	<u><b>amendment</b></u>:correção,emenda.	1. a change or changes made to the words of a text.			(3)emenda	(25161)alteração	·emenda,alteração,·modificação	·emenda,alteração,·modificação	emenda						correction, improvement,addition to a document																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-amendment.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-amendment.mp3]				(əˈmɛnd mənt)	əˈmendmənt	əˈmɛnd mənt					"<span class=""ipa dipa"">əˈmend.mənt</span>"																	
violated	<u><b>violated</b></u>:violado,violada,lesado,violentado,violentada.		"01.  To assault <font color=""#00aaff""><u>(a person)</font></u> sexually."		violado,(3)violar	(727)violou,(722)violado	violar,·infringido	,violado,·infringido							break a law, agreement,rape, defile																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-violated.mp3]						ˈvaɪəleɪt	ˈvaɪ əˌleɪt																						
vent	<u><b>vent</b></u>:abertura,saída,passagem,chaminé,ventilação,saída de ar. <u><b>to vent</b></u>:expressar,descarregar,expelir,desabafar.	1. a small opening that allows air, smoke, or gas to enter or leave a closed space. <BR>2. a cut in the bottom of a piece of clothing to allow the person wearing it to move more easily. <BR>3. to express a negative emotion in a forceful and often unfair way.			respirar,(3)abertura,(3)respiradouro	(364)ventilação	abertura,respirar,ventilar,respiro,ventilação,·desabafar,respiradouro	ventilar,·desabafar,respiro	saída,abertura,descarregar	<b>vent</b>   respiradouro   dar vazão <b>give vent to</b>  dar vazão					outlet,let out; express																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-vent.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-vent.mp3]				(vɛnt)	vent	vɛnt																						
traced			"04. 1 To go along or follow <font color=""#00aaff""><u>(a path, for example)</font></u>."		traçado	(93)rastreei,(191)traçado,(107)rastreamos,(312)rastreado	rastreei,rastreamos								copied,tracked																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-traced.mp3]					(treɪs)	treɪs,ˈtreɪsɪz,treɪst	treɪs																						
tow	<u><b>tow</b></u>:toa,reboque. <u><b>to tow</b></u>:rebocar.	1. to pull a car, boat, etc.	"01.  <font color=""#00aaff""><u>(Textiles)</font></u> synthetic fibres preparatory to spinning.<BR>02.  <font color=""#00aaff""><u>(Textiles)</font></u> the coarser fibres discarded after combing."		(3)rebocar,(3)reboque	(736)reboque	·estopa,rebocar,reboque	·estopa,reboque	rebocar	<b>tow</b>   rebocar  rebocada					pull along																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-tow.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-toe.mp3]				(toʊ)	təʊ	toʊ					"<span class=""ipa dipa"">toʊ</span>"																	
sweaty	<u><b>sweaty</b></u>:suado	1. covered in sweat.	"01.  <font color=""#00aaff""><u>(Physiology)</font></u> covered with sweat; sweating.<BR>02.  <font color=""#00aaff""><u>(Physiology)</font></u> smelling of or like sweat."		(3)suado	(583)suado	suado	suado	suado	<b>sweaty</b>  suado					damp with perspiration																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-sweaty.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-sweaty.mp3]				(ˈswɛt i)	ˈswetɪ	ˈswɛt i					"<span class=""ipa dipa"">ˈswet̬·i</span>"																	
shaft	<u><b>shaft</b></u>:poço,eixo,pênis,vara,coluna,flecha,haste,facho,chicana,cálamo,fuste. <u><b>to shaft</b></u>:engambelar.	1. a pole or rod that forms the handle of a tool or weapon. <BR>2. a rod forming part of a machine such as an engine, that turns in order to pass power on to the machine. <BR>3. a beam of light. <BR>4. a long, either vertical or sloping, passage through a building or through the ground. <BR>5. a clever remark, especially one that is intended as an attack on someone or something. <BR>6. to cheat or trick someone, or to treat someone unfairly.	"04.  <font color=""#00aaff""><u>Slang </font></u>To penetrate <font color=""#00aaff""><u>(someone)</font></u> sexually."		(2)fuste,eixo	(1357)eixo	eixo,haste,poço	eixo	cabo,haste,eixo,feixe de luz,boca,poço,duto,tirada,injustiçar	<b>shaft</b>  <b>1.</b>  cabo <b>2.</b>   poste <b>3.</b> eixo <b>4.</b>  poço <b>5.</b> raio					rod,weapon,ray of light,long part of something																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-shaft.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-shaft.mp3]				(ʃæft, ʃɑft)	ʃɑːft	ʃæft, ʃɑft					"<span class=""ipa dipa"">ʃæft</span>"																	
rainbow	<u><b>rainbow</b></u>:arco-íris. <u><b>rainbow</b></u>:iridescente.	1. a curved shape with colours that sometimes appears in the sky when the sun shines through rain.	"04.  Any similar display of bright coloursb. <font color=""#00aaff""><u>(as modifier)</font></u>."		(1)arco-da-velha,(1)arco-íris,arco iris	(1830)arco-íris		,arco-íris	arco-íris	<b>rainbow</b>  arco-íris					color spectrum																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-rainbow.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-rainbow.mp3]				(ˈreɪnˌboʊ)	ˈreɪnbəʊ	ˈreɪnˌboʊ					"<span class=""ipa dipa"">ˈreɪnˌboʊ</span>"																	
literature	<u><b>literature</b></u>:literatura.	1. books, poems, etc. that are considered to be art.			(3)literatura	(15002)literatura	literatura,·bibliografia	literatura,·bibliografia	literatura	<b>literature</b>    literatura					written matter, both fictional and nonfictional																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-literature.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus72803.mp3]				(ˈlɪt ər ə tʃər, -ˌtʃʊər, ˈlɪ trə-)	ˈlɪt(ə)rəʧə	ˈlɪt ər ə tʃər, -ˌtʃʊər, ˈlɪ trə-					"<span class=""ipa dipa"">ˈlɪt̬·ər·ə·tʃər</span>"		
insight	<u><b>insight</b></u>:idéia,percepção,discernimento,perspicácia,intuição,estalo.	1. (the ability to have) a clear, deep, and sometimes sudden understanding of a complicated problem or situation.			(3)introspecção,discernimento	(705)visão,(233)discernimento,(243)conhecimento,(317)percepção	·discernimento,·insight,perspicácia,conhecimento,·percepção,introspecção,visão	·discernimento,perspicaz,·insight,·percepção,visão	perspicácia,perspicaz	<b>insight</b>  perspicácia					intuitiveness, awareness																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-insight.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-insight.mp3]				(ˈɪnˌsaɪt)	ˈɪnsaɪt	ˈɪnˌsaɪt																						
haven	<u><b>haven</b></u>:porto,refúgio,asilo,abrigo,reduto.	1. a safe or peaceful place.			(3)refúgio,(3)abrigo,(3)porto		refúgio	,refúgio	refúgio	<b>haven</b>  porto					refuge, port																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-haven.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-haven.mp3]				(ˈheɪ vən)	heɪvn	ˈheɪ vən																						
grasp	<u><b>grasp</b></u>:compreensão,alcance. <u><b>to grasp</b></u>:agarrar,apreender,captar,tomar,aferrar,pegar de súbito.	1. to take hold of something firmly with your hand. <BR>2. to understand something. <BR>3. to force yourself to be brave and do something that is difficult or unpleasant. <BR>4. an understanding of something.	"01.  <font color=""#00aaff""><u>(tr)</font></u> to understand, esp with effort.<BR>07.  To grip <font color=""#00aaff""><u>(something)</font></u> firmly with or as if with the hands."		(3)compreender,(3)alcance,(3)compreensão,(3)aperto	(517)compreender,(310)alcance,(181)agarrar,(319)entender	segurar,·alcance,captar,compreender,compreensão,agarrar,·entender	compreender,·entender,compreensão,·alcance	segurar,agarrar,captar,entender,enfrentar o problema,pegar a batata quente,alcance,domínio,entendimento	<b>grasp</b>  <b>1.</b>  agarrar <b>2.</b> compreender  <b>1.</b>  aperto <b>2.</b> alcance					hold, grip,understanding,grab,understand																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-grasp.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-grasp.mp3]				(græsp, grɑsp)	grɑːsp	græsp, grɑsp					"<span class=""ipa dipa"">ɡræsp</span>"																	
era	<u><b>era</b></u>:era,época.	1. a period of time in history that is special for a particular reason.	"01.  <font color=""#00aaff""><u>(Education)</font></u> <font color=""#00aaff""><u>(in Britain)</font></u> Education Reform Act.<BR>02.  <font color=""#00aaff""><u>(Sociology)</font></u> <font color=""#00aaff""><u>(in the US)</font></u> Equal Rights Amendment."		(3)época		era,época	,era	era,época	<b>era</b>  <b>1.</b> era <b>2.</b> era					time period in history																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-era.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-era.mp3]				(ˈɪər ə, ˈɛr ə)	ˈɪərə	ˈɪər ə, ˈɛr ə					"<span class=""ipa dipa"">ˈɪər·ə</span>, <span class=""ipa dipa"">ˈer·ə</span>"																	
crappy	<u><b>crappy</b></u>:porcaria,de baixa qualidade,merda	1. unpleasant or of very bad quality.			porcaria	(95)ruim,(82)porcaria de,(83)de merda,(104)péssimo	ruim	porcaria	de merda						poor																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-crappy.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-crappy.mp3]				(ˈkræp i)	ˈkræpɪ	ˈkræp i					"<span class=""ipa dipa"">ˈkræp·i</span>"																	
crab	<u><b>crab</b></u>:chato,resmungão,caranguejo,siri. <u><b>to crab</b></u>:menosprezar.	1. a sea animal with ten legs and a shell.	"01.  <font color=""#00aaff""><u>(Animals)</font></u> short for crab louse.<BR>02.  <font color=""#00aaff""><u>(cap.)</font></u> cancer <font color=""#00aaff""><u>(def. 3)</font></u>.<BR>03.  <font color=""#00aaff""><u>(intr)</font></u> to find fault; grumble."		(3)caranguejo	(1212)caranguejo	caranguejo	caranguejo	caranguejo,siri						grouch,complain																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-crab.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-crab.mp3]				(kræb)	kræb	kræb					"<span class=""ipa dipa"">kræb</span>"																	
chunk	<u><b>chunk</b></u>:pedaço,bocado,naco. <u><b>to chunk</b></u>:amontoar	1. a large piece of something.			(2)pedaço grosso,pedaço,(2)naco	(415)pedaço	pedaço,·trecho	pedaço,·trecho	pedaço grande	<b>chunk</b>   pedaço					mass, slab of something																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-chunk.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-chunk.mp3]				(tʃʌŋk)	ʧʌnk	tʃʌŋk					"<span class=""ipa dipa"">tʃʌŋk</span>"																	
witnessed			"01.  <font color=""#00aaff""><u>(Law)</font></u> a person or thing giving or serving as evidence."		(3)testemunhado	(335)testemunhei,(955)testemunhou,(362)testemunharam,(631)testemunhado	testemunhei,·assistido,·presenciado,·verificadas	,·presenciado,testemunhado,·assistido,·verificadas							observed and attested,legally signed by a third party																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-witnessed.mp3]					(ˈwɪt nɪs)	ˈwɪtnəst	ˈwɪt nɪs																						
stain	<u><b>stain</b></u>:mancha,corante,nódoa. <u><b>to stain</b></u>:manchar.	1. a dirty mark on something that is difficult to remove. <BR>2. to leave a dirty mark on something that is difficult to remove, or to become dirty in this way.	"01.  <font color=""#00aaff""><u>(Dyeing)</font></u> to dye with a penetrating dyestuff or pigment."		(3)mancha,(3)manchar	(1332)mancha	·nódoa,mancha,manchar	mancha,manchar,·nódoa	mancha,manchar						spot of dirt, blot, bar,dirty, taint																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-stain.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-stain.mp3]				(steɪn)	steɪn	steɪn					"<span class=""ipa dipa"">steɪn</span>"																	
shack	<u><b>shack</b></u>:cabana,barraco.	1. a very simple and small building made from pieces of wood, metal, or other materials.	"01.  <font color=""#00aaff""><u>(Architecture)</font></u> a roughly built hut."		barraco,(3)cabana	(385)cabana	·cabana,casebre,·barraca,·barracão,barraco,choupana	barraco,·cabana,·barracão,·barraca	choupana,casebre	<b>shack</b>  cabana					shanty																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-shack.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-shack.mp3]				(ʃæk)	ʃæk	ʃæk																						
poured	<u><b>poured</b></u>:derramado.		"01.  <font color=""#00aaff""><u>(Physical Geography)</font></u> Also.<BR>02.  <font color=""#00aaff""><u>(tr)</font></u> to issue, emit, etc, in a profuse way."		derramado	(278)derramou,(543)derramado	derramado	,derramado							be or make flowing																																													[sound:7001-8000/thesaurus/7001-8000-thesaurus-poured.mp3]		[sound:youdao-31f5e470-f2354da8-e783514a-3e2c820e-5e80298d.mp3][sound:google-4ca98e8c-60f2bb2e-7ec120b8-a0aad5f4-1e45d8c4.mp3]	[sound:youdao-3f1ae399-b7e91925-b6fc5f54-3c077cfe-64679acc.mp3]		(pɔr, poʊr)	pɔː	pɔr, poʊr							
handful	<u><b>handful</b></u>:punhado,difícil de lidar.	1. the amount of something that you can hold in one hand. <BR>2. a small number of people or things. <BR>3. someone who is difficult to control, especially a child.			(3)punhado	(1236)punhado	punhado	punhado	punhado,um punhado,meia dúzia,pessoa/criança difícil	<b>handful</b> <b>.</b> mão cheia <b>.</b> punhado <b>.</b> &nbsp;descontrolado&nbsp;					a small quantity																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-handful.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-handful.mp3]				(ˈhænd fʊl)	ˈhændfʊl	ˈhænd fʊl					"<span class=""ipa dipa"">ˈhændˌfʊl</span>"																	
gob	<u><b>gob</b></u>:boca,marinheiro,cuspe,catarro. <u><b>to gob</b></u>:cuspir	1. a mouth. <BR>2. to not say anything.	"01.  <font color=""#00aaff""><u>(often plural)</font></u> informal a great quantity or amount."		(2)bocado,(2)escarro,(2)boca,(2)bisca			,boca	boca,calar(-se)						multitude,lump																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-gob.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-cald4us1019.mp3]				(gɒb)		gɒb					"<span class=""ipa dipa"">ɡɑːb</span>"																	
gag	<u><b>gag</b></u>:piada,chiste,mordaça,caçoada. <u><b>to gag</b></u>:amordaçar.	1. a piece of cloth that is tied around a person’s mouth or put inside it in order to stop the person from speaking, shouting, or calling for help. <BR>2. a joke or funny story, especially one told by a comedian (= person whose job is to make people laugh). <BR>3. a trick played on someone or an action performed to entertain other people. <BR>4. to experience the sudden uncomfortable feeling of tightness in the throat and stomach that makes you feel like you are going to vomit. <BR>5. to put a gag on someone’s mouth. <BR>6. to prevent a person or organization from talking or writing about a particular subject. 7. to be very eager to do something.			(3)mordaça,(3)amordaçar,(3)silenciar	(266)mordaça,(156)piada,(63)brincadeira,(58)amordaçar	mordaça,piada,amordaçar	mordaça,amordaçar	mordaça,piada,peça,engasgar-se,amordaçar,desejar algo/fazer algo,estar desesperado por algo/para fazer algo						practical joke,silence, stop up,vomit, choke																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-gag.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-gag.mp3]				(gæg)	gæg	gæg																						
flipped					invertido	(55)virou,(39)virado,(76)capotou,(72)passou-se	invertido			<b>flipped</b> <b>1.</b> jogar para o ar <b>2.</b> <b> with</b> <b>over</b> virar  toque					throw, jump with abandon																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-flipped.mp3]					(flɪp)	flɪp	flɪp																						
flick	<u><b>flick</b></u>:chicotada,pancadinha,piparote,filme. <u><b>to flick</b></u>:folhear,tremular,dar piparotes,dar um peteleco,dar uma pancadinha.	1. to move or hit something with a short sudden movement. <BR>2. a sudden, quick movement. <BR>3. to quickly look at the pages of a book, magazine, etc. <BR>4. a film. <BR>5. the cinema.	"01.  <font color=""#00aaff""><u>(Film)</font></u> the flicks the cinema."		(2)risca,(2)pincelada,(2)estalido,(2)chicotada				bater em,mover,estalo,batidinha,peteleco,dar uma folheada em algo,filme,o cinema	<b>flick</b>  <b>1.</b> sacudidela <b>2.</b>  filme  sacudir					light touch																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-flick.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-flick.mp3]				(flɪk)	flɪk	flɪk																						
